P(fav);avg;Y
0.626830851;2096.27;0
0.624219842;2101.5;0
0.623335891;2100.75;0
0.622718343;2126.86;0
0.606394237;2086.44;1
0.645083672;2084.69;0
0.596456492;2130.52;0
0.600453823;2131.41;0
0.662056634;2104.96;0
0.631019796;2057.09;0
0.645984651;2140.16;0
0.592406409;2074.78;1
0.705395029;2096.21;0
0.621575112;2107.23;0
0.622073104;2113.31;0
0.653670043;2112.95;0
0.552646607;2069.52;0
0.592671942;2133.84;0
0.659285888;2165.74;0
0.567968746;2077.81;0
0.661222676;2075.94;1
0.561034467;2149.03;0
0.551983427;2232.95;0
0.688548547;2040.69;0
0.700826892;2056.86;0
0.616717676;2211.3;0
0.594657479;2097.01;0
0.532115729;2073.72;0
0.634939272;1981.49;1
0.542569663;2118.25;0
0.71163592;2123.13;1
0.562978689;2045.87;1
0.571522016;2215.56;0
0.775413376;2140.37;0
0.68400608;2152.93;0
0.617807896;2110.89;0
0.637312205;2192.68;0
0.599438716;2005.42;0
0.53288001;2056.27;1
0.768488303;2180.23;0
0.611060276;2078.34;0
0.585562966;2201.36;0
0.729162104;2231.08;0
0.728082029;2100.2;0
0.701568103;2093.08;0
0.648877933;2196.72;1
0.583197284;2170.43;0
0.516398934;2065.48;0
0.706027909;2024.61;0
0.764117321;2352.11;0
0.534858001;2070.04;0
0.682469367;2062.52;1
0.665756373;2043.81;0
0.598208291;2070.9;0
0.755069972;2120.03;0
0.620625086;2055.21;1
0.65300594;2145.57;0
0.651183853;2077.03;1
0.572130471;2124.27;1
0.759258425;2073.87;0
0.776025662;2052.95;0
0.54772991;2307.92;1
0.76704257;2240.08;0
0.529943128;2078.69;0
0.540633366;2049.28;0
0.576269115;2161.55;0
0.513778248;2292.57;0
0.72314808;2061.55;0
0.506452752;2146.09;0
0.622499876;2100.03;0
0.599602642;1982.87;0
0.620536058;2074.56;0
0.590757997;2111.96;1
0.666555438;2124.45;0
0.669966921;2046.83;0
0.686409978;2170.71;0
0.599583621;2239.92;0
0.837275617;2252.43;0
0.574399543;2126.75;0
0.618811741;2194.67;1
0.605036757;2047.4;0
0.523778683;1995.43;0
0.690167354;2108.3;0
0.709148357;1998.02;0
0.590956943;2208.27;1
0.542443443;2082.79;1
0.664585597;2203.51;0
0.817859646;2252.18;0
0.725708531;2026.62;0
0.655337886;2060;0
0.545028397;2178.37;1
0.587738918;2085.47;0
0.6094775;2081.93;1
0.811343338;2279.18;0
0.642998422;2165.17;1
0.74238626;2016.78;0
0.606881177;2065.03;0
0.721500103;2178.38;0
0.558743503;2128.29;1
0.594929584;2021.48;1
0.608921344;2115.82;0
0.612918236;2113.02;1
0.605677272;2071.39;0
0.564980178;2112.62;0
0.520587199;2125.7;0
0.64778001;2087.47;1
0.500670912;2162.97;0
0.701611639;2133.77;0
0.603012085;2103.21;0
0.701469776;2239.6;1
0.647901441;2055.23;1
0.559173788;2044.83;0
0.534288169;2152.06;0
0.663458081;2044.96;0
0.667790621;2087.89;1
0.628334639;2174.77;0
0.594456466;2084.75;0
0.692753583;2127.21;0
0.631579473;2042.85;0
0.664696782;2255.62;1
0.558806694;2018.94;0
0.517689254;2106.31;0
0.58041223;2071.9;0
0.696105651;2076.87;0
0.779673964;2075.52;1
0.595857989;2136.53;0
0.6875621;2201.64;0
0.518778215;2047.56;0
0.57378728;2169.38;0
0.555469378;2203.19;0
0.810840418;2291.1;0
0.708254986;2031.14;0
0.661557322;2214.47;0
0.580250895;2339.65;0
0.650935116;2070.07;0
0.727299022;1997.95;0
0.573431889;2196.7;1
0.667811339;2137.9;0
0.707810682;2151.29;0
0.682303627;2231.35;0
0.629559048;2053.77;1
0.561116133;2171.59;0
0.637095179;1953.43;0
0.6028831;2093.49;1
0.553422192;2326.25;0
0.837511055;2257.62;0
0.631417219;2202.75;0
0.516805819;2172.25;0
0.532600543;2182.76;0
0.701398482;2086.88;0
0.689404615;2090.78;1
0.753875289;2095.86;0
0.666579982;2218.13;1
0.686234147;2189.45;0
0.531601411;2348.99;0
0.644247976;2072.99;1
0.557072411;2132.55;0
0.761538363;2348.28;1
0.767435998;2071.3;0
0.581163401;2002.72;0
0.718402994;2052.57;0
0.578733205;2150.71;1
0.637852426;2203.57;0
0.730443571;2180.85;0
0.528927874;2348.61;0
0.687141989;2186.59;0
0.53942919;2082.3;0
0.638486622;2113.65;1
0.625977704;2051.23;0
0.61457737;2043.99;0
0.726408715;2194.84;0
0.713922024;2168.04;1
0.650112654;2199.11;0
0.579110558;2149.03;0
0.539185317;2146.21;0
0.612061515;2107.23;0
0.739387193;1996.38;0
0.582933457;2067.85;0
0.676289642;2244.22;0
0.523876392;2096.17;0
0.606689549;2108.63;1
0.648997993;2113.58;1
0.689389632;2090.01;1
0.769550481;2050.07;1
0.70969432;2169.9;0
0.520926973;2089.39;0
0.579407008;2044.79;0
0.549846691;2288.74;0
0.601892253;2150.96;0
0.547422135;2153.48;0
0.805251515;2299.77;1
0.72720518;2095.4;0
0.769599402;2136.79;0
0.56906088;2169.9;0
