P(fav);Y
0.626830851;0
0.624219842;0
0.623335891;0
0.622718343;0
0.606394237;1
0.645083672;0
0.596456492;0
0.600453823;0
0.662056634;0
0.631019796;0
0.645984651;0
0.592406409;1
0.705395029;0
0.621575112;0
0.622073104;0
0.653670043;0
0.552646607;0
0.592671942;0
0.659285888;0
0.567968746;0
0.661222676;1
0.561034467;0
0.551983427;0
0.688548547;0
0.700826892;0
0.616717676;0
0.594657479;0
0.532115729;0
0.634939272;1
0.542569663;0
0.71163592;1
0.562978689;1
0.571522016;0
0.775413376;0
0.68400608;0
0.617807896;0
0.637312205;0
0.599438716;0
0.53288001;1
0.768488303;0
0.611060276;0
0.585562966;0
0.729162104;0
0.728082029;0
0.701568103;0
0.648877933;1
0.583197284;0
0.516398934;0
0.706027909;0
0.764117321;0
0.534858001;0
0.682469367;1
0.665756373;0
0.598208291;0
0.755069972;0
0.620625086;1
0.65300594;0
0.651183853;1
0.572130471;1
0.759258425;0
0.776025662;0
0.54772991;1
0.76704257;0
0.529943128;0
0.540633366;0
0.576269115;0
0.513778248;0
0.72314808;0
0.506452752;0
0.622499876;0
0.599602642;0
0.620536058;0
0.590757997;1
0.666555438;0
0.669966921;0
0.686409978;0
0.599583621;0
0.837275617;0
0.574399543;0
0.618811741;1
0.605036757;0
0.523778683;0
0.690167354;0
0.709148357;0
0.590956943;1
0.542443443;1
0.664585597;0
0.817859646;0
0.725708531;0
0.655337886;0
0.545028397;1
0.587738918;0
0.6094775;1
0.811343338;0
0.642998422;1
0.74238626;0
0.606881177;0
0.721500103;0
0.558743503;1
0.594929584;1
0.608921344;0
0.612918236;1
0.605677272;0
0.564980178;0
0.520587199;0
0.64778001;1
0.500670912;0
0.701611639;0
0.603012085;0
0.701469776;1
0.647901441;1
0.559173788;0
0.534288169;0
0.663458081;0
0.667790621;1
0.628334639;0
0.594456466;0
0.692753583;0
0.631579473;0
0.664696782;1
0.558806694;0
0.517689254;0
0.58041223;0
0.696105651;0
0.779673964;1
0.595857989;0
0.6875621;0
0.518778215;0
0.57378728;0
0.555469378;0
0.810840418;0
0.708254986;0
