player_name,games_played,current_score
Thomas Mueller,199,2826
Philipp Lahm,220,2780
Xabi Alonso,212,2765
Manuel Neuer,252,2740
David Alaba,127,2722
Franck Ribery,139,2717
Thiago Alcantara,71,2695
Arjen Robben,135,2682
Jerome Boateng,169,2676
Mario Goetze,125,2667
Arturo Vidal,213,2656
Robert Lewandowski,167,2653
Douglas Costa,24,2597
Rafinha,181,2584
Daniel van Buyten,97,2529
Holger Badstuber,113,2515
Anatoli Tymoschuk,57,2510
Mehdi Benatia,131,2490
Juan Bernat,76,2445
Joshua Kimmich,16,2423
Hans-Joerg Butt,62,2410
Javier Martinez,159,2387
Kingsley Coman,27,2377
Serdar Tasci,135,2137
Sebastian Rode,73,2120
Breno,17,2052
Tom Starke,63,2033
Ylli Sallahi,2,1971
